skill_name,family_name
Multiple Displacement Amplification (MDA),Biology
Proteomics,Biology
Biotechnology,Biology
Cell Biology,Biology
Genome,Biology
Microbiology,Biology
Transcriptomic,Biology
Genome Sequencing,Biology
Gene Expression,Biology
Digital Biomarker,Biology
Metabolomics,Biology
Biomedical Science,Biology
Cloning,Biology
Morpholino,Biology
Computational genomics,Biology
Weight Watchers,Biology
Central Nervous System,Biology
Gene Therapy,Biology
Phonetics,Biology
Transduction,Biology
Gerontology,Biology
DNA sequencing,Biology
Epigenetics,Biology
Tissue Engineering,Biology
Comparative Genomic,Biology
Biomechanics,Biology
Virology,Biology
Genome Editing,Biology
Dielectrophoresis (DEP),Biology
Quantitative Genetics,Biology
Neurotransmitters,Biology
DNA Sequencer,Biology
Neuromodulation,Biology
Population Genetics,Biology
Molecular Modelling,Biology
Metagenomics,Biology
Environmental Biotechnology,Biology
Bioanalytics,Biology
Electrophoresis,Biology
Genetic Engineering,Biology
Sister Chromatid Exchange (SCE),Biology
Biological Engineering,Biology
Imaging Biomarker,Biology
Genetic Analysis,Biology
Cell Singaling,Biology
Kyoto Encyclopedia of Genes and Genomes (KEGG),Biology
Western Blot,Biology
Bioreactor,Biology
Sociolinguistics,Biology
Enzymology,Biology
Industrial Fermentation,Biology
CRISPR/Cas Gene Editing,Biology
Alanine Aminopeptidase,Biology
Administrative Duties,Business
Functional Safety Management (FSM),Certifications
Certified ScrumMaster (CSM),Certifications
Technical Lead,Certifications
SAFe - Business Owner (BO),Certifications
Project Management Institute (PMI),Certifications
"APICS Certified in Logistics, Transportation and Distribution (CLTD)",Certifications
PRINCE2,Certifications
Chartered Financial Analyst (CFA),Certifications
Certified Scrum Product Owner (CSPO),Certifications
Registered Nurse (RN),Certifications
Certified Information Systems Auditor (CISA),Certifications
Certified Information Security Manager (CISM),Certifications
Certified Information Systems Security Professional (CISSP),Certifications
APICS,Certifications
APICS Certified in Production and Inventory Management (CPIM),Certifications
SAFe - Product Manager Product Owner (PM PO),Certifications
Portfolio Management Professional (PfMP),Certifications
Microsoft Certified Solutions Associate (MCSA),Certifications
CLP (Application Architecture),Certifications
IBM - TIVOLI Trained,Certifications
Certified Network Associate (CCNA),Certifications
Project Management Professional (PMP),Certifications
APICS Certified Supply Chain Professional (CSCP),Certifications
GIAC Certified Unix Security Administrator (GCUX),Certifications
PMI Certified Associate in Project Management (CAPM),Certifications
GIAC Certified Enterprise Defender (GCED),Certifications
GIAC Certified Intrusion Analyst (GCIA),Certifications
GIAC Certified Incident Handler (GCIH),Certifications
GIAC Security Essentials Certification (GSEC),Certifications
Certified in Risk and Information Systems Control (CRISC),Certifications
PMI Agile Certified Practitioner (ACP),Certifications
CompTIA Security+,Certifications
Defect Prevention,Certifications
SAFe - Release Train Engineer (RTE),Certifications
ORACLE Certified Professional Java SE Programmer (OCPJP),Certifications
PMI Risk Management Professional (RMP),Certifications
Microsoft Certified Professional Developer (MCPD),Certifications
Chartered Institute of Personnel and Development (CIPD),Certifications
Microsoft Certified Technology Specialist,Certifications
SHRM-CP,Certifications
Certified Ethical Hacker (CEH),Certifications
Offensive Security Certified Professional (OSCP),Certifications
Adobe Certified Expert (ACE),Certifications
Cisco Certified Network Professional (CCNP),Certifications
OEM Preinstallation for Windows 10 (70-734),Certifications
GIAC Certified Project Manager (GCPM),Certifications
American Heart Association - Basic Life Support (BLS),Certifications
PMI Program Management Professional (PgMP),Certifications
CompTIA A+,Certifications
Licensed Practical Nurse (LPN),Certifications
SAFe - Solution Train Engineer (STE),Certifications
American Heart Association - Advanced Cardiovascular Life Support (ACLS),Certifications
PMI Professional in Business Analysis (PBA),Certifications
Problem Management Practitioner Certi.,Certifications
SHRM-SCP,Certifications
Scrum Alliance,Certifications
PMI Scheduling Professional (SP),Certifications
CompTIA Network+,Certifications
Professional in Human Resources (PHR),Certifications
Car Safety Training,Certifications
GIAC Security Leadership (GSLC),Certifications
GIAC Systems and Network Auditor (GSNA),Certifications
CompTIA CySA+,Certifications
CompTIA Linux+,Certifications
CompTIA PenTest+,Certifications
PMI Portfolio Management Professional (PfMP),Certifications
IPMA - Projectmanagement Level D,Certifications
GIAC Information Security Professional (GISP),Certifications
Forklift Driver's license,Certifications
GIAC Security Expert (GSE),Certifications
Novell Certified Netware Engineer (CNE),Certifications
Human Resource Certification Institute (HRCI),Certifications
Certified Project Management Professional,Certifications
APMG International,Certifications
International Software Testing Qualifications Board (ISTQB),Certifications
Cisco Certified Network Associate Industrial (CCNA Industrial),Certifications
IPMA - Projectmanagement Level C,Certifications
CompTIA Server+,Certifications
TÜV Quality Manager,Certifications
International Consortium for Agile (ICAgile),Certifications
American Heart Association - Pediatric Advanced Life Support (PALS),Certifications
Managing Projects and Portfolios with Microsoft PPM (beta) (70-348),Certifications
ISAQB - CSPA,Certifications
Scaled Agile Academy,Certifications
Scrum.org,Certifications
Microsoft Technology Associate,Certifications
GIAC Reverse Engineering Malware (GREM),Certifications
Offensive Security Certified Expert (OSCE),Certifications
GIAC Certified Forensic Analyst (GCFA),Certifications
GIAC Certified Perimeter Protection Analyst (GPPA),Certifications
CISCO Certified,Certifications
Association of Clinical Research Professionals (ACRP) Certification,Certifications
Microsoft Certified Professional,Certifications
Implementing Microsoft Azure Infrastructure Solutions (70-533),Certifications
Architecting Microsoft Azure Solutions (70-534),Certifications
Identity with Windows Server 2016 (in development) (70-742),Certifications
GIAC Certified Forensics Examiner (GCFE),Certifications
CompTIA Cloud+,Certifications
Designing and Implementing Big Data Analytics Solutions (70-475),Certifications
Designing and Implementing Cloud Data Platform Solutions (70-473),Certifications
SUN Microsystems,Certifications
Agile Certification Institute,Certifications
Microsoft Certified System Administrator,Certifications
Administering Microsoft SQL Server 2012/2014 Databases (70-462),Certifications
Administering a SQL Database Infrastructure (in development) (70-764),Certifications
Provisioning SQL Databases (beta) (70-765),Certifications
Implementing a SQL Data Warehouse (in development) (70-767),Certifications
ORACLE Certified Associate (OCA),Certifications
Microsoft Certified System Engineer,Certifications
Chemistry,Chemistry
Analytical Chemistry,Chemistry
Liquid–Liquid Extraction (LLE),Chemistry
Gas Chromatography,Chemistry
Ion Pair Chromatography (IP),Chemistry
Cheminformatics,Chemistry
Chemometrics,Chemistry
Biochemistry,Chemistry
Clinical Chemistry,Chemistry
PH Studies,Chemistry
Geochemistry,Chemistry
GHS Labeling,Chemistry
Chemical Regulations,Chemistry
Liquefied Petroleum (LPG),Chemistry
Gas Chromatography–Mass Spectrometry (GC-MS),Chemistry
Liquid Chromatography–Mass Spectrometry (LC-MS),Chemistry
Filter Technology,Chemistry
Chemical Biology,Chemistry
Characterization,Chemistry
Crystal Structure,Chemistry
Chromatography,Chemistry
Carbon DiOxide (CO2),Chemistry
Chemical Synthesis,Chemistry
Computational Chemistry,Chemistry
Protein Purification,Chemistry
Solid-State Chemistry,Chemistry
Cation Exchange Chromatography (CEX),Chemistry
Electrochemistry,Chemistry
Macromolecule,Chemistry
Medicinal Chemistry,Chemistry
Material Properties,Chemistry
Chemical Analysis,Chemistry
Liquefied Natural Gas (LNG),Chemistry
Electrolysis,Chemistry
Cryogenics,Chemistry
Organic Chemistry,Chemistry
Inorganic Chemistry,Chemistry
Nuclear Chemistry,Chemistry
Liquid Oxygen,Chemistry
Ion Chromatography (IEC),Chemistry
Chemical Reaction,Chemistry
Radiochemistry,Chemistry
High Performance Liquid Chromatography (HPLC),Chemistry
Polyethylene Terephthalate (PET),Chemistry
Chemical Properties,Chemistry
Chemical Kinetics,Chemistry
Thermochemistry,Chemistry
Thin Layer Chromatography,Chemistry
Chemical Bonding,Chemistry
Corrosion Testing,Chemistry
Physical Chemistry,Chemistry
Visible Spectrophotometer,Chemistry
Chemical Physics,Chemistry
Homogeneous Catalysis,Chemistry
Organometallic Chemistry,Chemistry
Electrospray Ionization,Chemistry
Molecular Characterization,Chemistry
Crystallography,Chemistry
ACQUITY - UPLC,Chemistry
Biophysical Chemistry,Chemistry
Polymer Chemistry,Chemistry
Instrumental Analytics,Chemistry
Contamination,Chemistry
Fischer–Tropsch Synthesis (FT),Circular Economy
Direct Coal Liquefation (DCL),Circular Economy
Pyrolysis,Circular Economy
Carbonization,Circular Economy
Indirect Coal Liquefation (ICL),Circular Economy
Office Building,Civil Engineering
Construction Management,Civil Engineering
Construction Automation,Civil Engineering
Levelling,Civil Engineering
Civil Engineering,Civil Engineering
Road surface,Civil Engineering
Construction Material,Civil Engineering
Building Construction,Civil Engineering
Bridge Building,Civil Engineering
Deutscher Verband für Projektmanagement in der Bau- und Immobilienwirtschaft (DVP),Civil Engineering
Residential Area,Civil Engineering
Construction Drawing,Civil Engineering
Infrastructure Construction,Civil Engineering
Residential Building,Civil Engineering
Industrial Construction,Civil Engineering
Building Services Engineering,Civil Engineering
Trenching,Civil Engineering
Hydraulic Engineering,Civil Engineering
Building Commissioning,Civil Engineering
Transportation Engineering,Civil Engineering
Asphalt Concrete,Civil Engineering
Offshore Construction,Civil Engineering
Traffic Engineering,Civil Engineering
Energetic,Competencies
Prediction,Competencies
Verbal Communication,Competencies
Comprehension,Competencies
Decision Making,Competencies
Cross-boarder Collaboration,Competencies
Proactivity,Competencies
Conceptualization,Competencies
Leadership Skills,Competencies
Positive Leadership,Competencies
Problem Solving,Competencies
Result Orientation,Competencies
Synthesizing,Competencies
Written Communication,Competencies
Hands-On Mentality,Competencies
Creativity,Competencies
Innovative Thinking,Competencies
Presentation,Competencies
Knowledge Transfer,Competencies
Teamwork,Competencies
Motivation,Competencies
Compromising,Competencies
Analytical Thinking,Competencies
Strategic Thinking,Competencies
Coordination,Competencies
Taking Criticism,Competencies
Evaluation,Competencies
Humble,Competencies
Knowledge Management,Competencies
Negotiation Skills,Competencies
Critical Thinking,Competencies
Tolerant,Competencies
Welcoming,Competencies
Helpfulness,Competencies
Consulting Skills,Competencies
Striving for Achievement,Competencies
Customer Focus,Competencies
Flexibility,Competencies
Networking,Competencies
Pragmatic,Competencies
Vibrant,Competencies
Influencing,Competencies
Self Confidence,Competencies
Detail-oriented,Competencies
Think outside the Box,Competencies
Responsible,Competencies
Enthusiasm,Competencies
Resilience,Competencies
Open-minded,Competencies
Intervention,Competencies
Team Building,Competencies
Encouraging,Competencies
Entrepreneurial Thinking,Competencies
Time Management,Competencies
Adaptability,Competencies
Curiosity,Competencies
Knowledge-sharing,Competencies
Conflict Resolution,Competencies
Change Management,Competencies
Mediation,Competencies
Creative Thinking,Competencies
Ambition,Competencies
Explanation,Competencies
Empowerment,Competencies
Peer Review,Competencies
Inspiring,Competencies
Reflective,Competencies
Sense Of Responsibility,Competencies
Solution Oriented,Competencies
Design Thinking,Competencies
Diversity of Perspective,Competencies
Persistence,Competencies
Open Mindedness,Competencies
Moderation,Competencies
Expressive,Competencies
Skepticism,Competencies
Sensitivity,Competencies
Team Success,Competencies
Imaginative,Competencies
Visionary,Competencies
Authenticity,Competencies
Differentiation,Competencies
Collaborative Leadership,Competencies
Hard-working,Competencies
Processing speed,Competencies
Enriching,Competencies
Empathy,Competencies
Polite,Competencies
Optimistic,Competencies
Sense of Belonging,Competencies
Public Speaking,Competencies
Goal Orientation,Competencies
Service Orientation,Competencies
Performance-Oriented,Competencies
Persuasion,Competencies
Activating,Competencies
Positive Attitude,Competencies
Technology-Oriented,Competencies
Community-minded,Competencies
Information Sharing,Competencies
Direct Feedback,Competencies
Communicative,Competencies
Social Competence,Competencies
Emotional Intelligence,Competencies
Conflict Management,Competencies
Diplomacy,Competencies
Complex Interactions,Competencies
Concentration,Competencies
Regular Feedback,Competencies
Objectivity,Competencies
Perseverance,Competencies
Team Feedback,Competencies
Human Intelligence (HUMINT),Competencies
Embracing Change,Competencies
Constructive Feedback,Competencies
Business Ethics,Competencies
Intercultural Competence,Competencies
Conscientiousness,Competencies
Collegial,Competencies
Patience,Competencies
Delegation,Competencies
Work Management,Competencies
Group Discussion,Competencies
Disregard,Competencies
Contract Negotiation,Competencies
Constructive Criticism,Competencies
Nonviolent Communication,Competencies
Communication Training,Competencies
Serenity,Competencies
Cost Awareness,Competencies
Valuing Each Other,Competencies
Self-Management,Competencies
Prudence,Competencies
Competitiveness,Competencies
Hungry for Knowledge,Competencies
Open Feedback Culture,Competencies
Trendsetting,Competencies
Sportsmanship,Competencies
Toleration,Competencies
Career-focused,Competencies
Digital Literacy,Competencies
Adventurous,Competencies
Success-focused,Competencies
Collegial Cooperation,Competencies
Appreciation of Performance,Competencies
Instructing,Competencies
Design Sense,Competencies
Community Management,Competencies
Information Seeking,Competencies
Stress Management,Competencies
Social Collaboration,Competencies
Self-managing,Competencies
Lean Thinking,Competencies
Ambitous,Competencies
Positive Reinforcement,Competencies
Authentic Leadership,Competencies
Change Avers,Competencies
Clarity in Feedback,Competencies
Handicraft,Competencies
Connected Thinking,Competencies
Jealousy,Competencies
Argumentation Strategy,Competencies
Partnership-based,Competencies
Embracing Difference,Competencies
Discussion Techniques,Competencies
Organizational Awareness,Competencies
Management Style,Competencies
Vigilance,Competencies
Personalized Attention,Competencies
Personality Development,Competencies
Intercultural Communication,Competencies
Logic & reasoning,Competencies
International Readiness,Competencies
Interviewing Technique,Competencies
Dignified,Competencies
IT Affinity,Competencies
Customer Affinity,Competencies
Employee Communication,Competencies
Negotiation Strategy,Competencies
Nonverbal Communication,Competencies
Structured Working Method,Competencies
De-escalation,Competencies
Technical Affinity,Competencies
Professional Feedback,Competencies
Continental Leadership Entry Program (LEP),Competencies
Apathy,Competencies
Pyramid Principle,Competencies
Individual Leadership,Competencies
Non-hierachial Leadership,Competencies
Self-Reflection,Competencies
Complexity Management,Competencies
Sustained Attention,Competencies
Inspiring trust,Competencies
Visual processing,Competencies
Affirmative Action,Culture
Diversity Management,Culture
Converged infrastructure,Data Center
Accounting,Economics & Finance & Accounting
Overall Equipment Effectiveness (OEE),Economics & Finance & Accounting
Invoicing,Economics & Finance & Accounting
Anti-Money Laundring (AML),Economics & Finance & Accounting
Know Your Customer (KYC),Economics & Finance & Accounting
Banking,Economics & Finance & Accounting
FinServ (Financial Services),Economics & Finance & Accounting
Investment Banking,Economics & Finance & Accounting
Key Performance Indicator (KPI),Economics & Finance & Accounting
Mutual Insurance,Economics & Finance & Accounting
Credit risk,Economics & Finance & Accounting
Momentum (Technical Analysis),Economics & Finance & Accounting
Reinsurance,Economics & Finance & Accounting
Underwriting,Economics & Finance & Accounting
Datastream,Economics & Finance & Accounting
Commodities,Economics & Finance & Accounting
Intellectual Capital,Economics & Finance & Accounting
Chartered Cost Accountant (CCA),Economics & Finance & Accounting
Return on Investment (ROI),Economics & Finance & Accounting
Cost–Benefit Analysis (CBA),Economics & Finance & Accounting
Investment Management,Economics & Finance & Accounting
Value of Information (VOI),Economics & Finance & Accounting
Cost Center Controlling,Economics & Finance & Accounting
Target Costing,Economics & Finance & Accounting
Financial Accounting,Economics & Finance & Accounting
Code of Practice,Economics & Finance & Accounting
Business Case,Economics & Finance & Accounting
Portfolio Management,Economics & Finance & Accounting
Resource Consumption Accounting (RCA),Economics & Finance & Accounting
Percentage-of-Completion Method,Economics & Finance & Accounting
FinTech,Economics & Finance & Accounting
Regulatory Technology (RegTech),Economics & Finance & Accounting
Supervisory Technology (SupTech),Economics & Finance & Accounting
Value Added,Economics & Finance & Accounting
Commodity Market,Economics & Finance & Accounting
Financial Modeling,Economics & Finance & Accounting
Budget Management,Economics & Finance & Accounting
Policyholder,Economics & Finance & Accounting
Property and Casualty Insurance,Economics & Finance & Accounting
Stock Exchange,Economics & Finance & Accounting
Digital Banking,Economics & Finance & Accounting
Market Risk,Economics & Finance & Accounting
Revenue Management,Economics & Finance & Accounting
Loss Incurred,Economics & Finance & Accounting
Loan-to-Value Ratio (LTV),Economics & Finance & Accounting
Balance Sheet,Economics & Finance & Accounting
Financial Ratio,Economics & Finance & Accounting
Profit & Loss (P&L),Economics & Finance & Accounting
Activity-Based Management,Economics & Finance & Accounting
ConSolidation and Reporting,Economics & Finance & Accounting
Return of Capital (ROC),Economics & Finance & Accounting
Accounting Management,Economics & Finance & Accounting
Accounting Principles,Economics & Finance & Accounting
Finance Management System,Economics & Finance & Accounting
Professional liability Insurance,Economics & Finance & Accounting
Wealth Management,Economics & Finance & Accounting
Capital Markets,Economics & Finance & Accounting
Risk Metrics,Economics & Finance & Accounting
Structured Finance,Economics & Finance & Accounting
Hedging Derivatives,Economics & Finance & Accounting
Mutual Fund,Economics & Finance & Accounting
Enterprise Risk Management (ERM),Economics & Finance & Accounting
Basel Committee on Banking Supervision (BCBS),Economics & Finance & Accounting
Sales Controlling,Economics & Finance & Accounting
Collateralized Debt Obligation (CDO),Economics & Finance & Accounting
External Auditor,Economics & Finance & Accounting
Asset Purchase Agreement,Economics & Finance & Accounting
Payment Protection Insurance,Economics & Finance & Accounting
Audit Committee,Economics & Finance & Accounting
Cost Estimation,Economics & Finance & Accounting
Debt Management Plan,Economics & Finance & Accounting
Activity-Based Costing (ABC),Economics & Finance & Accounting
Trade Finance,Economics & Finance & Accounting
Operational Risk Management (ORM),Economics & Finance & Accounting
Run the Bank (RtB),Economics & Finance & Accounting
Mobile Banking,Economics & Finance & Accounting
Commercial Finance,Economics & Finance & Accounting
Regulatory Compliance,Economics & Finance & Accounting
Contract Improvement,Economics & Finance & Accounting
XBRLS,Economics & Finance & Accounting
Cost Reduction,Economics & Finance & Accounting
Financial Statement,Economics & Finance & Accounting
Safety Stock,Economics & Finance & Accounting
Control Self-Assessment,Economics & Finance & Accounting
Insurance Claims and Policy,Economics & Finance & Accounting
Working Capital,Economics & Finance & Accounting
Banking Operations,Economics & Finance & Accounting
Accrual,Economics & Finance & Accounting
Restricted Stock,Economics & Finance & Accounting
Annual Report,Economics & Finance & Accounting
Bloomberg,Economics & Finance & Accounting
Valuation,Economics & Finance & Accounting
Accounts Payable,Economics & Finance & Accounting
Accounts Receivable,Economics & Finance & Accounting
General Ledger,Economics & Finance & Accounting
Earnings Call,Economics & Finance & Accounting
Economic Research,Economics & Finance & Accounting
Variable Annuity,Economics & Finance & Accounting
Fixed Cost,Economics & Finance & Accounting
Liquidity Risk,Economics & Finance & Accounting
Net Interest Income (NII),Economics & Finance & Accounting
Loss Given Default (LGD),Economics & Finance & Accounting
Transfer pricing,Economics & Finance & Accounting
Cost Driver,Economics & Finance & Accounting
Capital Expenditure (CAPEX),Economics & Finance & Accounting
Algorithmic Trading,Economics & Finance & Accounting
Customs & VAT,Economics & Finance & Accounting
Assets Under Management (AUM),Economics & Finance & Accounting
Financial Advice,Economics & Finance & Accounting
Audit Risk,Economics & Finance & Accounting
Tax Accounting,Economics & Finance & Accounting
Private Medical Insurance,Economics & Finance & Accounting
Detection Risk,Economics & Finance & Accounting
Financial Analysis,Economics & Finance & Accounting
Percentage in Point (PIP),Economics & Finance & Accounting
Online Banking,Economics & Finance & Accounting
Credit Score,Economics & Finance & Accounting
Social Insurance,Economics & Finance & Accounting
Operating Expense (OPEX),Economics & Finance & Accounting
Comprehensive Insurance,Economics & Finance & Accounting
Capital adequacy ratio (CAR),Economics & Finance & Accounting
Burn Rate,Economics & Finance & Accounting
Control Environment,Economics & Finance & Accounting
Financial Result,Economics & Finance & Accounting
Return on Modeling Effort (ROME),Economics & Finance & Accounting
Cash Flow,Economics & Finance & Accounting
Market Transaction,Economics & Finance & Accounting
Portfolio Optimization,Economics & Finance & Accounting
Quality Cost,Economics & Finance & Accounting
FX Derivatives,Economics & Finance & Accounting
Personal Finance Management,Economics & Finance & Accounting
Insurance Regulatory Information System,Economics & Finance & Accounting
Corporate finance,Economics & Finance & Accounting
Financial Forecasting,Economics & Finance & Accounting
Money markets & debt securities,Economics & Finance & Accounting
Escrow,Economics & Finance & Accounting
Cash Management,Economics & Finance & Accounting
International Financial Reporting Standards (IFRS),Economics & Finance & Accounting
Earnings Per Share (EPS),Economics & Finance & Accounting
Commercial Activity,Economics & Finance & Accounting
Beneficiary,Economics & Finance & Accounting
Valued Policy,Economics & Finance & Accounting
Credit Rating,Economics & Finance & Accounting
Collateral management,Economics & Finance & Accounting
Interest Rate Risk,Economics & Finance & Accounting
Cede,Economics & Finance & Accounting
Economic Value Added (EVA),Economics & Finance & Accounting
Divestment,Economics & Finance & Accounting
Financial Planning,Economics & Finance & Accounting
Operating Margin,Economics & Finance & Accounting
Ship Chartering,Economics & Finance & Accounting
Financial Risk Management,Economics & Finance & Accounting
Project Accounting,Economics & Finance & Accounting
IFRS 9,Economics & Finance & Accounting
Stress Test (financial),Economics & Finance & Accounting
Ceding Company,Economics & Finance & Accounting
Cession,Economics & Finance & Accounting
Internal Control System,Economics & Finance & Accounting
Payment Card Industry (PCI),Economics & Finance & Accounting
Shareholder Value,Economics & Finance & Accounting
Cost Per Mille (CPM),Economics & Finance & Accounting
Centers for Medicare & Medicaid Services,Economics & Finance & Accounting
Morris–Putnam Point (MPP),Economics & Finance & Accounting
Cryptocurrency,Economics & Finance & Accounting
Bankruptcy Support,Economics & Finance & Accounting
Management Control System (MCS),Economics & Finance & Accounting
Direct Costs,Economics & Finance & Accounting
Reputational risk,Economics & Finance & Accounting
Pipeline Planning,Economics & Finance & Accounting
Loss Recovery,Economics & Finance & Accounting
Process Costing,Economics & Finance & Accounting
Workers’ Compensation,Economics & Finance & Accounting
S Corporation,Economics & Finance & Accounting
Reinsurer,Economics & Finance & Accounting
Equity Carve-Out (ECO),Economics & Finance & Accounting
Endorsement,Economics & Finance & Accounting
Securitization,Economics & Finance & Accounting
Cost of Poor Quality (COPQ),Economics & Finance & Accounting
Identity Theft Insurance,Economics & Finance & Accounting
Group Insurance,Economics & Finance & Accounting
Credit Risk Management,Economics & Finance & Accounting
Volatility Indicators (Finance),Economics & Finance & Accounting
Shrinkage,Economics & Finance & Accounting
Flow Trading,Economics & Finance & Accounting
Cost-Effectiveness Analysis (CEA),Economics & Finance & Accounting
Treasury Management,Economics & Finance & Accounting
Interest rates,Economics & Finance & Accounting
Legal Risk,Economics & Finance & Accounting
Credit Management,Economics & Finance & Accounting
Profit Center,Economics & Finance & Accounting
Crop Insurance‎,Economics & Finance & Accounting
European Market Infrastructure Regulation (EMIR),Economics & Finance & Accounting
Markets in Financial Instruments Directive (MiFID),Economics & Finance & Accounting
Earnings Before Interest and Taxes (EBIT),Economics & Finance & Accounting
Critical Illness Insurance,Economics & Finance & Accounting
Initial Coin Offering (ICO),Economics & Finance & Accounting
Factiva,Economics & Finance & Accounting
Sharing Economy,Economics & Finance & Accounting
PAUG (Pay As You Go),Economics & Finance & Accounting
Advanced IRB,Economics & Finance & Accounting
Payment Card Industry Data Security Standard (PCI-DSS),Economics & Finance & Accounting
Continuous Auditing,Economics & Finance & Accounting
Portfolio Analysis,Economics & Finance & Accounting
Global Reporting Initiative,Economics & Finance & Accounting
Materiality,Economics & Finance & Accounting
Sustainability Accounting,Economics & Finance & Accounting
Financial Secrecy Index (FSI),Economics & Finance & Accounting
Cost of Goods Sold (COGS),Economics & Finance & Accounting
Risk Score,Economics & Finance & Accounting
Stock Appreciation Right (SAR),Economics & Finance & Accounting
Payment Gateway,Economics & Finance & Accounting
